Date,Code région,Season,Période,Day_type,Total énergie soutirée (MWh),Conso_1pt (KWh),Région
2022-05-30,32,Spring,période 22,Normal Day,28820.650264,318.5761133500333,Hauts-de-France
2022-05-31,24,Spring,période 22,Normal Day,14287.048641,308.01712429335475,Centre-Val de Loire
2022-05-31,32,Spring,période 22,Normal Day,28577.129874000002,327.05070908654756,Hauts-de-France
2022-06-01,24,Spring,période 22,Normal Day,14348.178532,296.12266232833974,Centre-Val de Loire
2022-06-01,32,Spring,période 22,Normal Day,28682.712995,312.57097287490745,Hauts-de-France
2022-06-02,24,Spring,période 22,Normal Day,14130.166158,296.950080901241,Centre-Val de Loire
2022-06-02,32,Spring,période 22,Normal Day,28241.235059,313.13918824949667,Hauts-de-France
2022-06-03,24,Spring,période 22,Normal Day,14112.012718,296.62481117785575,Centre-Val de Loire
2022-06-03,32,Spring,période 22,Normal Day,28251.603906,312.240094096214,Hauts-de-France
2022-06-04,24,Spring,période 22,Week-end,14079.933963,282.1129569098701,Centre-Val de Loire
2022-06-04,32,Spring,période 22,Week-end,28199.056937,296.7876458950834,Hauts-de-France
2022-06-05,24,Spring,période 22,Week-end,13826.133298,267.0100165489592,Centre-Val de Loire
2022-06-05,32,Spring,période 22,Week-end,27739.136549,288.13902235234775,Hauts-de-France
2022-06-06,24,Spring,période 22,National Holidays,14022.570527,271.2822505405995,Centre-Val de Loire
2022-06-06,32,Spring,période 22,National Holidays,28119.375087,287.64413336424224,Hauts-de-France
2022-06-07,24,Spring,période 22,Normal Day,13999.680964,286.91887385917823,Centre-Val de Loire
2022-06-07,32,Spring,période 22,Normal Day,28050.946293,305.14275217744455,Hauts-de-France
2022-06-08,24,Spring,période 22,Normal Day,14111.478704,286.2521049329414,Centre-Val de Loire
2022-06-08,32,Spring,période 22,Normal Day,28282.590044,303.5108303828776,Hauts-de-France
2022-06-09,24,Spring,période 22,Normal Day,13957.662048,285.57381576446045,Centre-Val de Loire
2022-06-09,32,Spring,période 22,Normal Day,27919.903627,302.6958497488968,Hauts-de-France
2022-06-10,24,Spring,période 22,Normal Day,13993.927706,290.4356645296365,Centre-Val de Loire
2022-06-10,32,Spring,période 22,Normal Day,27983.984474,306.58425435429075,Hauts-de-France
2022-06-11,24,Spring,période 22,Week-end,14038.285364,280.5732518299706,Centre-Val de Loire
2022-06-11,32,Spring,période 22,Week-end,28097.205838,295.6356385113272,Hauts-de-France
2022-06-12,24,Spring,période 22,Week-end,13985.736614,271.7518512199189,Centre-Val de Loire
2022-06-12,32,Spring,période 22,Week-end,28034.191497,291.71102293527537,Hauts-de-France
2022-06-13,24,Spring,période 22,Normal Day,14109.257355,289.756879871795,Centre-Val de Loire
2022-06-13,32,Spring,période 22,Normal Day,28267.809322,305.043512650666,Hauts-de-France
2022-06-14,24,Spring,période 22,Normal Day,14167.0991,306.2140582632659,Centre-Val de Loire
2022-06-14,32,Spring,période 22,Normal Day,28365.355928,321.49980487769074,Hauts-de-France
2022-06-15,24,Spring,période 22,Normal Day,14481.529597,312.3652254969957,Centre-Val de Loire
2022-06-15,32,Spring,période 22,Normal Day,29025.050945,327.63089156320626,Hauts-de-France
2022-06-16,24,Spring,période 22,Normal Day,14578.319549,319.04540223771653,Centre-Val de Loire
2022-06-16,32,Spring,période 22,Normal Day,29218.051255,336.28978445934035,Hauts-de-France
2022-06-17,24,Spring,période 22,Normal Day,14959.792838,323.4655484249442,Centre-Val de Loire
2022-06-17,32,Spring,période 22,Normal Day,29981.322982,339.30506182567865,Hauts-de-France
2022-06-18,24,Spring,période 22,Week-end,15110.580701,308.6545487928127,Centre-Val de Loire
2022-06-18,32,Spring,période 22,Week-end,30320.562271,325.4373769486174,Hauts-de-France
2022-06-19,24,Spring,période 22,Week-end,14724.856428000001,290.58754869860235,Centre-Val de Loire
2022-06-19,32,Spring,période 22,Week-end,29571.620785,309.27788709378456,Hauts-de-France
2022-06-20,24,Spring,période 22,Normal Day,14440.276267,298.05015504048305,Centre-Val de Loire
2022-06-20,32,Spring,période 22,Normal Day,29001.741618,313.5807043986901,Hauts-de-France
2022-06-21,24,Summer,période 22,Normal Day,14191.174414,305.7719641189936,Centre-Val de Loire
2022-06-21,32,Summer,période 22,Normal Day,28488.036785,322.52457154878874,Hauts-de-France
2022-06-22,24,Summer,période 22,Normal Day,14226.074214,300.6629367591935,Centre-Val de Loire
2022-06-22,32,Summer,période 22,Normal Day,28569.600193,318.0085923538124,Hauts-de-France
2022-06-23,24,Summer,période 22,Normal Day,14050.01472,300.1279503824631,Centre-Val de Loire
2022-06-23,32,Summer,période 22,Normal Day,28198.609373,318.0760610918806,Hauts-de-France
2022-06-24,24,Summer,période 22,Normal Day,13958.177848,295.6792961137129,Centre-Val de Loire
2022-06-24,32,Summer,période 22,Normal Day,28014.026434,313.7079767857828,Hauts-de-France
2022-06-25,24,Summer,période 22,Week-end,13971.816813,279.9425632397612,Centre-Val de Loire
2022-06-25,32,Summer,période 22,Week-end,28016.883973,295.93836794812665,Hauts-de-France
2022-06-26,24,Summer,période 22,Week-end,13999.309956,270.96214417079483,Centre-Val de Loire
2022-06-26,32,Summer,période 22,Week-end,28073.030052,291.07499081608574,Hauts-de-France
2022-06-27,24,Summer,période 22,Normal Day,13987.203181,284.40683585339013,Centre-Val de Loire
2022-06-27,32,Summer,période 22,Normal Day,28031.049185,301.8235701341461,Hauts-de-France
2022-06-28,24,Summer,période 22,Normal Day,13883.264529,294.8438732676554,Centre-Val de Loire
2022-06-28,32,Summer,période 22,Normal Day,27792.912694,311.3256279428457,Hauts-de-France
2022-06-29,24,Summer,période 22,Normal Day,14041.520426,296.78042761165074,Centre-Val de Loire
2022-06-29,32,Summer,période 22,Normal Day,28140.019463,317.6742833300765,Hauts-de-France
2022-06-30,24,Summer,période 22,Normal Day,14108.786148,296.6207981916819,Centre-Val de Loire
2022-06-30,32,Summer,période 22,Normal Day,28254.882106,317.2050979136154,Hauts-de-France
2022-07-01,24,Summer,période 22,Normal Day,13807.584567,296.23596608611496,Centre-Val de Loire
2022-07-01,32,Summer,période 22,Normal Day,26767.005205,298.5626105072474,Hauts-de-France
2022-07-02,24,Summer,période 22,Week-end,13818.367279,287.9441918576236,Centre-Val de Loire
2022-07-02,32,Summer,période 22,Week-end,26769.188249,290.03854642262576,Hauts-de-France
2022-07-03,24,Summer,période 22,Week-end,13715.558299,280.19768324501547,Centre-Val de Loire
2022-07-03,32,Summer,période 22,Week-end,26609.182475,284.9883561455498,Hauts-de-France
2022-07-04,24,Summer,période 22,Normal Day,13883.816344,300.9268926924673,Centre-Val de Loire
2022-07-04,32,Summer,période 22,Normal Day,26858.540038,300.7801102517063,Hauts-de-France
2022-07-05,24,Summer,période 22,Normal Day,13941.178586,314.11963445134967,Centre-Val de Loire
2022-07-05,32,Summer,période 22,Normal Day,26932.597952,313.99053654526136,Hauts-de-France
2022-07-06,24,Summer,période 22,Normal Day,14020.801041,317.7365160301875,Centre-Val de Loire
2022-07-06,32,Summer,période 22,Normal Day,27058.431374,317.2410331717962,Hauts-de-France
2022-07-07,24,Summer,période 2,School Holidays,13948.846091,319.65750825259545,Centre-Val de Loire
2022-07-07,32,Summer,période 2,School Holidays,26860.822004,320.21026551590074,Hauts-de-France
2022-07-08,24,Summer,période 2,School Holidays,14014.081296,321.2293715252166,Centre-Val de Loire
2022-07-08,32,Summer,période 2,School Holidays,26943.816222,322.0735265510311,Hauts-de-France
2022-07-09,24,Summer,période 2,Week-end,13944.033637,309.5118899004834,Centre-Val de Loire
2022-07-09,32,Summer,période 2,Week-end,26794.986507,309.1364003537816,Hauts-de-France
2022-07-10,24,Summer,période 2,Week-end,13753.215402,298.62376334217777,Centre-Val de Loire
2022-07-10,32,Summer,période 2,Week-end,26400.710663,300.22850383729383,Hauts-de-France
2022-07-11,24,Summer,période 2,School Holidays,13983.69351,321.86897303922353,Centre-Val de Loire
