Date,Code région,Season,Période,Day_type,Total énergie soutirée (MWh),DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,TEMPERATURE_NIGHT_C,Rain,Season-modified,Day_type_mod
2022-05-15,24,Spring,période 22,Week-end,14259.5118,2022-05-15,26.666666666666668,13.166666666666666,12.666666666666666,13.333333333333334,23.83333333333333,24.666666666666668,2.6833333333333336,86.33333333333333,9.5625,1016.1666666666666,45.72916666666666,27.33333333333333,17.666666666666668,12.5,136.0,115.5,163.0,0.0,5.666666666666667,13.166666666666666,13.833333333333334,Rain,1,1
2022-05-16,24,Spring,période 22,Normal Day,14080.316691,2022-05-16,23.666666666666668,13.333333333333334,10.833333333333334,13.333333333333334,22.83333333333333,22.666666666666668,0.8166666666666668,95.16666666666669,8.875,1020.8333333333334,39.395833333333336,25.33333333333333,16.166666666666668,12.5,134.5,114.0,125.5,0.0,4.666666666666667,13.833333333333334,13.666666666666666,Rain,1,0
2022-05-17,24,Spring,période 22,Normal Day,14041.555213,2022-05-17,28.83333333333333,13.833333333333334,11.0,13.833333333333334,27.166666666666668,26.33333333333333,0.0,89.5,10.0,1021.1666666666666,13.020833333333334,29.5,17.833333333333332,13.666666666666666,113.0,113.0,114.0,0.0,6.0,14.333333333333334,13.833333333333334,No rain,1,0
2022-05-18,24,Spring,période 22,Normal Day,14281.45885,2022-05-18,29.166666666666668,14.833333333333334,15.333333333333334,14.833333333333334,27.666666666666668,26.83333333333333,0.0166666666666666,90.0,9.9375,1021.0,17.0625,30.166666666666668,18.666666666666668,14.666666666666666,113.0,113.0,142.0,0.0,5.833333333333333,14.5,15.5,Rain,1,0
2022-05-19,24,Spring,période 22,Normal Day,14120.268793,2022-05-19,25.0,16.5,18.5,17.0,24.0,23.666666666666668,1.05,94.33333333333331,9.208333333333334,1021.1666666666666,62.97916666666666,26.33333333333333,18.0,17.0,145.0,140.5,170.5,0.0,5.0,12.0,17.166666666666668,Rain,1,0
2022-05-20,24,Spring,période 22,Normal Day,14209.174424,2022-05-20,24.33333333333333,15.833333333333334,24.0,16.5,23.33333333333333,22.666666666666668,0.7999999999999999,95.5,8.354166666666666,1023.0,62.41666666666666,25.83333333333333,18.166666666666668,16.333333333333332,229.5,251.0,154.5,0.0,5.0,11.333333333333334,16.0,Rain,1,0
2022-05-21,24,Spring,période 22,Week-end,14196.800462,2022-05-21,25.83333333333333,11.166666666666666,8.833333333333334,11.333333333333334,23.0,25.0,0.0166666666666666,92.16666666666669,9.166666666666666,1025.0,9.708333333333334,26.33333333333333,13.833333333333334,11.166666666666666,118.0,113.0,113.0,0.0,5.333333333333333,14.5,11.166666666666666,Rain,1,1
2022-05-22,24,Spring,période 22,Week-end,14185.535688,2022-05-22,27.666666666666668,13.5,20.33333333333333,14.0,25.0,25.33333333333333,0.6833333333333332,85.0,9.895833333333334,1017.8333333333334,39.020833333333336,29.5,18.5,12.833333333333334,115.5,128.5,138.0,0.0,5.833333333333333,13.166666666666666,13.5,Rain,1,1
2022-05-23,24,Spring,période 22,Normal Day,14112.503755,2022-05-23,19.5,13.666666666666666,29.33333333333333,16.0,15.333333333333334,18.166666666666668,2.1166666666666667,93.33333333333331,9.916666666666666,1007.6666666666666,78.89583333333333,19.5,16.333333333333332,12.833333333333334,182.5,196.5,156.5,0.0,4.0,10.833333333333334,16.0,Rain,1,0
2022-05-24,24,Spring,période 22,Normal Day,14101.876709,2022-05-24,17.833333333333332,8.333333333333334,16.333333333333332,8.333333333333334,17.0,17.166666666666668,0.4833333333333333,97.33333333333331,9.583333333333334,1013.1666666666666,62.520833333333336,17.833333333333332,10.666666666666666,6.166666666666667,163.0,136.0,185.0,0.0,3.1666666666666665,12.666666666666666,9.333333333333334,Rain,1,0
2022-05-25,24,Spring,période 22,Normal Day,14324.899528,2022-05-25,20.5,7.666666666666667,17.333333333333332,7.666666666666667,19.0,19.5,0.0166666666666666,90.83333333333331,10.0,1021.1666666666666,26.166666666666668,20.5,9.666666666666666,6.666666666666667,113.0,114.0,117.0,0.0,4.666666666666667,13.833333333333334,7.833333333333333,Rain,1,0
